what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views",1433875728208
started,bundle,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"org.eclipse.ui.workbench",1433875728209
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.workbench.texteditor",1433875728210
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1433875728211
started,bundle,org.eclipse.update.core,3.2.400.v20100512,"org.eclipse.update.core",1433875728211
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1433875728212
started,bundle,org.eclipse.wst.common.core,1.2.0.v200908252030,"org.eclipse.wst.common.core",1433875728213
started,bundle,org.eclipse.wst.common.emf,1.2.0.v201005200700,"org.eclipse.wst.common.emf",1433875728213
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.0.v201004110600,"org.eclipse.wst.common.emfworkbench.integration",1433875728214
started,bundle,org.eclipse.wst.common.frameworks,1.2.0.v201003040800,"org.eclipse.wst.common.frameworks",1433875728214
started,bundle,org.eclipse.wst.common.frameworks.ui,1.2.0.v201004080500,"org.eclipse.wst.common.frameworks.ui",1433875728215
started,bundle,org.eclipse.wst.common.modulecore,1.2.0.v201005200200,"org.eclipse.wst.common.modulecore",1433875728215
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.100.v201005190114,"org.eclipse.wst.common.project.facet.core",1433875728216
started,bundle,org.eclipse.wst.server.core,1.1.202.v20100518,"org.eclipse.wst.server.core",1433875728216
started,bundle,org.eclipse.wst.server.ui,1.1.203.v20100601,"org.eclipse.wst.server.ui",1433875728217
started,bundle,org.eclipse.wst.validation,1.2.200.v201005271900,"org.eclipse.wst.validation",1433875728218
started,bundle,org.eclipse.wst.web,1.1.400.v201005270700,"org.eclipse.wst.web",1433875728218
started,bundle,org.eclipse.wst.xml.core,1.1.500.v201005271618,"org.eclipse.wst.xml.core",1433875728219
os,sysinfo,,,"win32",1433875728222
arch,sysinfo,,,"x86_64",1433875728222
ws,sysinfo,,,"win32",1433875728222
locale,sysinfo,,,"pt_BR",1433875728222
processors,sysinfo,,,"8",1433875728222
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1433875728222
java.runtime.version,sysinfo,,,"1.7.0_01-b08",1433875728222
java.specification.name,sysinfo,,,"Java Platform API Specification",1433875728222
java.specification.vendor,sysinfo,,,"Oracle Corporation",1433875728222
java.specification.version,sysinfo,,,"1.7",1433875728222
java.vendor,sysinfo,,,"Oracle Corporation",1433875728222
java.version,sysinfo,,,"1.7.0_01",1433875728222
java.vm.info,sysinfo,,,"mixed mode",1433875728222
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1433875728222
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1433875728222
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1433875728222
java.vm.specification.version,sysinfo,,,"1.7",1433875728222
